央视频道,#genre#
CCTV1,http://183.251.61.207/PLTV/88888888/224/3221226908/index.m3u8
CCTV2,http://183.251.61.207/PLTV/88888888/224/3221225923/index.m3u8
CCTV3,http://183.251.61.207/PLTV/88888888/224/3221227445/index.m3u8
CCTV4,http://183.251.61.207/PLTV/88888888/224/3221227441/index.m3u8
CCTV5,http://183.251.61.207/PLTV/88888888/224/3221227283/index.m3u8
CCTV5+,http://183.251.61.207/PLTV/88888888/224/3221225939/index.m3u8
CCTV6,http://183.251.61.207/PLTV/88888888/224/3221227438/index.m3u8
CCTV7,http://183.251.61.207/PLTV/88888888/224/3221225927/index.m3u8
CCTV8,http://183.251.61.207/PLTV/88888888/224/3221227449/index.m3u8
CCTV9,http://183.251.61.207/PLTV/88888888/224/3221225929/index.m3u8
CCTV10,http://183.251.61.207/PLTV/88888888/224/3221225931/index.m3u8
CCTV11,http://183.251.61.207/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://183.251.61.207/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://183.251.61.207/PLTV/88888888/224/3221227279/index.m3u8
CCTV14,http://183.251.61.207/PLTV/88888888/224/3221225933/index.m3u8
CCTV15,http://183.251.61.207/PLTV/88888888/224/3221227270/index.m3u8
CCTV16,http://183.251.61.207/PLTV/88888888/224/3221227162/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221227125/index.m3u8
CCTV17,http://183.251.61.207/PLTV/88888888/224/3221226986/index.m3u8
CCTV4K,rtsp://112.50.233.148/PLTV/88888888/224/3221227488/136427084.smil
卫视频道,#genre#
东方卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227512/147396182.smil#http://183.251.61.207/PLTV/88888888/224/3221227059/index.m3u8
湖南卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227530/147396820.smil#http://183.251.61.207/PLTV/88888888/224/3221227232/index.m3u8
江苏卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227526/147396617.smil#http://183.251.61.207/PLTV/88888888/224/3221227160/index.m3u8
浙江卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227505/147396573.smil#http://183.251.61.207/PLTV/88888888/224/3221227193/index.m3u8
广东卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227500/141320607.smil#http://183.251.61.207/PLTV/88888888/224/3221227164/index.m3u8
深圳卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227485/141320617.smil#http://183.251.61.207/PLTV/88888888/224/3221227242/index.m3u8
北京卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227476/135487844.smil#http://183.251.61.207/PLTV/88888888/224/3221227246/index.m3u8
山东卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227516/147396708.smil#http://183.251.61.207/PLTV/88888888/224/3221227236/index.m3u8
四川卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221227407/147396849.smil#http://183.251.61.207/PLTV/88888888/224/3221227182/index.m3u8
广西卫视,http://183.251.61.207/PLTV/88888888/224/3221227250/index.m3u8
云南卫视,http://183.251.61.207/PLTV/88888888/224/3221227181/index.m3u8
河北卫视,http://183.251.61.207/PLTV/88888888/224/3221227063/index.m3u8
河南卫视,http://183.251.61.207/PLTV/88888888/224/3221227095/index.m3u8
湖北卫视,http://183.251.61.207/PLTV/88888888/224/3221227111/index.m3u8
贵州卫视,http://183.251.61.207/PLTV/88888888/224/3221227201/index.m3u8
安徽卫视,http://183.251.61.207/PLTV/88888888/224/3221227178/index.m3u8
天津卫视,http://183.251.61.207/PLTV/88888888/224/3221227205/index.m3u8
重庆卫视,http://183.251.61.207/PLTV/88888888/224/3221227240/index.m3u8
江西卫视,http://183.251.61.207/PLTV/88888888/224/3221227209/index.m3u8
辽宁卫视,http://183.251.61.207/PLTV/88888888/224/3221227141/index.m3u8
吉林卫视,http://183.251.61.207/PLTV/88888888/224/3221227099/index.m3u8
黑龙江卫视,http://183.251.61.207/PLTV/88888888/224/3221227197/index.m3u8
海南卫视,http://183.251.61.207/PLTV/88888888/224/3221227216/index.m3u8
三沙卫视,http://183.251.61.207/PLTV/88888888/224/3221227172/index.m3u8
甘肃卫视,http://183.251.61.207/PLTV/88888888/224/3221227262/index.m3u8
青海卫视,http://183.251.61.207/PLTV/88888888/224/3221227119/index.m3u8
山西卫视,http://183.251.61.207/PLTV/88888888/224/3221227258/index.m3u8
陕西卫视,http://183.251.61.207/PLTV/88888888/224/3221227221/index.m3u8
内蒙古卫视,http://183.251.61.207/PLTV/88888888/224/3221227244/index.m3u8
宁夏卫视,http://183.251.61.207/PLTV/88888888/224/3221227254/index.m3u8
西藏卫视,rtsp://183.252.176.54/PLTV/88888888/224/3221226808/48629336.smil
新疆卫视,http://183.251.61.207/PLTV/88888888/224/3221227248/index.m3u8
兵团卫视,rtsp://183.252.176.54/PLTV/88888888/224/3221226804/48628997.smil
福建频道,#genre#
福建综合,http://183.251.61.207/PLTV/88888888/224/3221227149/index.m3u8
东南卫视,http://183.251.61.207/PLTV/88888888/224/3221227156/index.m3u8
福建新闻,http://183.251.61.207/PLTV/88888888/224/3221227180/index.m3u8
福建公共,http://183.251.61.207/PLTV/88888888/224/3221227153/index.m3u8
福建电视剧,http://183.251.61.207/PLTV/88888888/224/3221227079/index.m3u8
福建经济,http://183.251.61.207/PLTV/88888888/224/3221227184/index.m3u8
福建旅游,http://183.251.61.207/PLTV/88888888/224/3221227190/index.m3u8
福建文体,http://183.251.61.207/PLTV/88888888/224/3221227188/index.m3u8
福建少儿,http://183.251.61.207/PLTV/88888888/224/3221227194/index.m3u8
海峡卫视,http://183.251.61.207/PLTV/88888888/224/3221227198/index.m3u8
厦门卫视,http://183.251.61.207/PLTV/88888888/224/3221226781/index.m3u8
教育频道,#genre#
CETV1,http://183.251.61.207/PLTV/88888888/224/3221227067/index.m3u8
CETV2,http://183.251.61.207/PLTV/88888888/224/3221227206/index.m3u8
CETV4,http://183.251.61.207/PLTV/88888888/224/3221227192/index.m3u8
福建教育,http://183.251.61.207/PLTV/88888888/224/3221227202/index.m3u8
山东教育,http://183.251.61.207/PLTV/88888888/224/3221227474/index.m3u8
数字频道,#genre#
纯享4K,http://183.251.61.207/PLTV/88888888/224/3221226825/index.m3u8
黑莓电影,http://183.251.61.207/PLTV/88888888/224/3221227448/index.m3u8
黑莓动画,http://183.251.61.207/PLTV/88888888/224/3221227303/index.m3u8
金鹰卡通,http://183.251.61.207/PLTV/88888888/224/3221227018/index.m3u8
嘉佳卡通,http://183.251.61.207/PLTV/88888888/224/3221227230/index.m3u8
优漫卡通,http://183.251.61.207/PLTV/88888888/224/3221227339/index.m3u8
优优宝贝,http://183.251.61.207/PLTV/88888888/224/3221227367/index.m3u8
爱情喜剧,http://183.251.61.207/PLTV/88888888/224/3221227462/index.m3u8
潮妈辣婆,http://183.251.61.207/PLTV/88888888/224/3221227311/index.m3u8
惊悚悬疑,http://183.251.61.207/PLTV/88888888/224/3221227466/index.m3u8
纪实科教,http://183.251.61.207/PLTV/88888888/224/3221225944/index.m3u8
金鹰纪实,http://183.251.61.207/PLTV/88888888/224/3221226937/index.m3u8
先锋乒羽,http://183.251.61.207/PLTV/88888888/224/3221226851/index.m3u8
茶频道,http://183.251.61.207/PLTV/88888888/224/3221226859/index.m3u8
中华特产,http://183.251.61.207/PLTV/88888888/224/3221227502/index.m3u8
环球奇观,http://183.251.61.207/PLTV/88888888/224/3221227490/index.m3u8
生态环境,http://183.251.61.207/PLTV/88888888/224/3221227494/index.m3u8
中国天气,http://183.251.61.207/PLTV/88888888/224/3221227210/index.m3u8
炫舞未来,http://183.251.61.207/PLTV/88888888/224/3221227319/index.m3u8
精品体育,http://183.251.61.207/PLTV/88888888/224/3221227470/index.m3u8
精品记录,http://183.251.61.207/PLTV/88888888/224/3221227461/index.m3u8
中国功夫,http://183.251.61.207/PLTV/88888888/224/3221227473/index.m3u8
军事评论,http://183.251.61.207/PLTV/88888888/224/3221227452/index.m3u8
睛彩竞技频道,http://183.251.61.207/PLTV/88888888/224/3221227047/index.m3u8
睛彩篮球频道,http://183.251.61.207/PLTV/88888888/224/3221227158/index.m3u8
睛彩青少频道,http://183.251.61.207/PLTV/88888888/224/3221227314/index.m3u8
睛彩广场舞频道,http://183.251.61.207/PLTV/88888888/224/3221227343/index.m3u8
央视国际,#genre#
CGTN,http://183.251.61.207/PLTV/88888888/224/3221225822/index.m3u8
CGTN纪录,http://183.251.61.207/PLTV/88888888/224/3221225813/index.m3u8
CGTN西班牙语,http://183.251.61.207/PLTV/88888888/224/3221227238/index.m3u8
CGTN阿拉伯语,http://183.251.61.207/PLTV/88888888/224/3221227224/index.m3u8
CGTN法语,http://183.251.61.207/PLTV/88888888/224/3221227220/index.m3u8
CGTN俄语,http://183.251.61.207/PLTV/88888888/224/3221227103/index.m3u8
