央视,#genre#
CCTV-1,rtsp://220.200.30.136/PLTV/88888909/224/3221225703/10000100000000060000000000391319_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0s15AZ7Lc9CraZDwwWt%2BB6KQ%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000152%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-2,rtsp://112.111.36.140/PLTV/88888909/224/3221225702/10000100000000060000000000391317_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0svEg7R3GAicLChZHPYoBAjg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000477%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-3,rtsp://220.200.30.136/PLTV/88888909/224/3221225979/10000100000000060000000004051300_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sN639%2F6j52pxbPqnwSSO%2Fvg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000487%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-4,rtsp://112.111.36.140/PLTV/88888909/224/3221225972/10000100000000060000000003964012_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0s4%2FbB9aHJofTDiT8D%2Bq2dfg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000053%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-5,rtsp://220.200.30.136/PLTV/88888909/224/3221225968/10000100000000060000000004051302_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sBPoizHP7KQSJSKLa8OQVhQ%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000481%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-6,rtsp://220.200.30.136/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sKtYhmciHD%2FjDdkpkMgB%2FVw%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2CBESTV002000000050000000000554222%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-7,rtsp://112.111.36.140/PLTV/88888909/224/3221225701/10000100000000060000000000391316_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sBYs6eUTtCtC7heoKSL8gLg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000485%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-8,rtsp://220.200.30.136/PLTV/88888909/224/3221225970/10000100000000060000000004051303_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sgFcFBy8O%2BpCbtPlc9gJXAg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000476%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-9,rtsp://112.111.36.140/PLTV/88888909/224/3221225700/10000100000000060000000000391315_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sUgTzSZA5pa5uYhPaUuYh5w%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000478%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-10,rtsp://220.200.30.136/PLTV/88888909/224/3221225699/10000100000000060000000000391290_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0s4g%2FiIMd%2BN5U6%2BVRLatn8Ww%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000480%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-11,rtsp://112.111.36.140/PLTV/88888909/224/3221225737/10000100000000060000000000401678_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sFZt3P9b6Z01LPQw4DbqxZw%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000056%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-12,rtsp://220.200.30.136/PLTV/88888909/224/3221225698/10000100000000060000000000391289_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0s12xq3ThtdA3q6CUpnSZydA%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000482%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-13,rtsp://112.111.36.140/PLTV/88888909/224/3221225745/10000100000000060000000000403953_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sLhhpOpzOdGJtdWtqLYlGOQ%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000063%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-14,rtsp://220.200.30.136/PLTV/88888909/224/3221225697/10000100000000060000000000391272_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0siUWUnoV3ywswDbkgwMdMiA%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000483%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-15,rtsp://112.111.36.140/PLTV/88888909/224/3221225746/10000100000000060000000000403954_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sGSi5d3rfKrzQ1j%2F2B6L3Og%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000064%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
